Num	DT	KNN	NaiveBase
1	no	no	no
2	no	no	no
3	no	no	no
4	no	no	no
5	no	no	no
6	no	no	no
7	no	no	no
8	no	no	no
9	no	no	no
10	no	no	no
11	no	no	no
12	no	no	no
13	no	no	no
14	no	no	no
15	yes	no	yes
16	no	no	no
17	no	no	no
18	no	no	no
19	no	no	no
20	no	no	no
21	no	no	no
22	no	no	no
23	no	no	no
24	no	no	no
25	no	no	no
26	no	no	no
27	no	no	no
28	yes	no	yes
29	no	no	no
30	no	no	no
31	no	no	no
32	no	no	no
33	no	no	no
34	no	no	no
35	no	no	no
36	yes	no	no
37	no	no	no
38	no	no	no
39	no	no	no
40	no	no	no
41	no	no	no
42	yes	no	yes
	0.98	0.93	1.0
