GPA	Algo	DataStructures	Complexity	MachineLearning	AI	Cryptography	Masters
95	85	100	85	95	90	60	yes
93	95	90	85	90	75	65	yes
86	60	70	70	80	80	90	no
92	85	85	75	80	85	60	no
88	95	80	75	95	90	60	no
86	70	85	100	95	90	60	no
85	75	65	95	65	85	90	no
88	90	85	65	80	95	90	no
86	65	80	60	85	95	90	no
87	95	80	70	80	90	65	no
88	65	90	70	95	95	75	no
92	100	65	80	70	85	70	no
90	80	70	85	85	80	75	no
91	90	90	65	80	85	75	no
86	85	75	95	75	75	90	no
91	100	90	65	60	85	80	no
85	80	70	80	80	80	85	no
89	80	75	70	75	90	75	no
86	80	75	60	70	85	65	no
87	80	85	90	85	90	70	no
89	75	80	80	85	65	100	no
86	80	95	65	80	75	75	no
90	80	60	80	75	90	60	no
85	80	85	95	95	85	65	no
86	85	85	95	90	80	85	no
89	90	80	80	80	70	85	no
92	80	80	70	85	65	70	no
88	80	85	100	70	85	70	no
86	60	80	75	90	90	65	no
90	85	65	60	90	80	60	no
87	85	70	95	85	85	60	no
95	70	85	70	95	80	80	yes
86	85	90	60	90	60	80	no
88	80	80	60	90	85	75	no
88	80	80	65	85	70	70	no
86	85	65	75	70	80	85	no
89	80	90	80	90	75	70	no
88	85	75	80	90	85	70	no
88	65	70	70	85	90	90	no
89	75	85	65	80	85	60	no
87	75	65	85	75	60	65	no
87	80	70	70	95	80	75	no
87	80	80	60	75	80	60	no
88	85	75	90	75	60	70	no
85	100	90	90	60	80	75	no
91	90	75	70	75	80	60	no
88	60	70	70	70	85	90	no
90	80	75	90	85	85	75	no
89	60	75	60	80	95	80	no
94	60	85	65	60	85	90	yes
88	80	80	70	75	95	70	no
91	85	85	95	90	80	65	no
88	90	60	75	85	95	85	no
95	75	85	65	80	80	65	yes
86	60	75	85	95	70	80	no
86	85	80	90	80	80	85	no
85	60	80	95	85	80	70	no
95	65	80	70	80	80	65	no
87	90	75	90	90	85	60	no
93	75	85	85	95	75	80	yes
86	75	75	85	90	90	75	no
91	60	80	95	95	90	90	no
95	60	70	75	95	95	60	no
93	70	70	75	90	90	75	no
85	80	85	70	65	95	70	no
89	80	100	70	80	95	60	no
89	85	85	85	60	90	80	no
89	85	75	75	90	65	75	no
88	75	75	75	90	95	100	no
85	85	85	100	75	90	65	no
91	85	65	75	90	100	80	no
93	80	75	70	80	95	65	no
86	90	80	70	90	80	85	no
88	85	75	90	95	70	80	no
91	80	75	75	65	75	70	no
85	70	85	85	85	75	70	no
86	80	90	95	85	90	75	no
91	70	85	85	80	85	90	no
85	90	80	90	85	90	65	no
